Mid,T1_last_date,T1_last_time,T1_last_name,T1_last_logo,T1_last_total_main,T1_last_total_vs
370845,2020-04-11,11:45:00,Team Sincere,https://ru.dltv.org/storage/app/uploads/public/93b/64f/4f4/thumb__100_100_0_0_auto.png,0,2
370738,2020-04-17,10:05:00,Spag and Sons,https://ru.dltv.org/storage/app/uploads/public/068/599/d2e/thumb__100_100_0_0_auto.png,0,2
370738,2020-04-14,10:10:00,Adió Chula,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,0,2
370714,2020-04-16,16:05:00,Winstrike Team,https://ru.dltv.org/storage/app/uploads/public/f62/7b0/6df/thumb__100_100_0_0_auto.png,2,0
370714,2020-04-15,16:30:00,Virtus.pro,https://ru.dltv.org/storage/app/uploads/public/825/a78/65e/thumb__100_100_0_0_auto.png,0,2
370714,2020-04-14,17:00:00,FlyToMoon 2.0,https://ru.dltv.org/storage/app/uploads/public/824/57e/3a2/thumb__100_100_0_0_auto.png,2,1
370714,2020-04-14,13:15:00,Aggressive Mode,https://ru.dltv.org/storage/app/uploads/public/2a0/eec/4bc/thumb__100_100_0_0_auto.png,2,1
370714,2020-04-09,13:05:00,ViKin.gg,https://ru.dltv.org/storage/app/uploads/public/9d4/c53/8f1/thumb__100_100_0_0_auto.png,2,1
369234,2020-04-17,09:35:00,T1,https://ru.dltv.org/storage/app/uploads/public/0f9/42d/c38/thumb__100_100_0_0_auto.png,0,2
369234,2020-04-16,07:05:00,Fnatic,https://ru.dltv.org/storage/app/uploads/public/c1f/bb4/298/thumb__100_100_0_0_auto.png,0,2
369234,2020-04-12,07:05:00,TNC Predator,https://ru.dltv.org/storage/app/uploads/public/c7b/0ec/91e/thumb__100_100_0_0_auto.png,2,0
369234,2020-04-11,07:05:00,Reality Rift,https://ru.dltv.org/storage/app/uploads/public/9d9/d47/aea/thumb__100_100_0_0_auto.png,0,2
369234,2020-04-04,07:00:00,MS Chonburi,https://ru.dltv.org/storage/app/uploads/public/fc6/157/c26/thumb__100_100_0_0_auto.png,2,0
370552,2020-04-17,18:15:00,OG,https://ru.dltv.org/storage/app/uploads/public/842/59c/acf/thumb__100_100_0_0_auto.png,0,2
370552,2020-04-16,18:25:00,Team Unique,https://ru.dltv.org/storage/app/uploads/public/482/916/292/thumb__100_100_0_0_auto.png,2,0
370552,2020-04-15,14:35:00,Alliance,https://ru.dltv.org/storage/app/uploads/public/fa7/e27/383/thumb__100_100_0_0_auto.png,2,0
370552,2020-04-13,12:55:00,Team Spirit,https://ru.dltv.org/storage/app/uploads/public/ba5/980/72f/thumb__100_100_0_0_auto.png,2,1
