Mid,H2H_date,H2H_time,H2H_total_t1,H2H_total_t2
371472,2020-04-30,10:10:00,2.0,1.0
371452,2020-04-13,23:00:00,2.0,0.0
371452,2020-03-28,13:10:00,1.0,2.0
371452,2020-03-23,19:10:00,2.0,0.0
371452,2020-02-12,20:50:00,2.0,0.0
371457,2020-04-26,20:10:00,0.0,3.0
371457,2020-04-25,18:30:00,2.0,1.0
371457,2020-03-19,20:20:00,0.0,2.0
371457,2020-02-13,20:05:00,0.0,2.0
371457,2019-10-06,17:21:03,1.0,1.0
371268,2020-03-23,06:20:00,1.0,2.0
371270,2020-03-22,03:20:00,1.0,2.0
371270,2019-12-12,04:05:00,2.0,1.0
371586,2020-04-29,08:05:00,0.0,2.0
371586,2020-04-09,05:10:00,0.0,2.0
371586,2019-11-06,06:10:02,2.0,0.0
371476,2020-04-17,05:10:00,0.0,2.0
371476,2020-02-15,06:40:00,1.0,1.0
371476,2019-12-01,10:00:00,0.0,2.0
371476,2019-11-09,06:10:02,2.0,1.0
371476,2019-11-02,01:16:00,0.0,2.0
371384,2019-07-30,12:00:00,2.0,0.0
371273,2020-04-01,03:10:00,1.0,1.0
371273,2020-03-18,08:50:00,2.0,0.0
371273,2020-02-28,09:10:00,0.0,2.0
371320,2020-03-29,07:15:00,2.0,1.0
371320,2019-11-03,06:48:02,0.0,2.0
371320,2019-10-15,08:26:46,2.0,0.0
371603,2020-04-21,03:10:00,0.0,2.0
371603,2020-03-15,09:20:00,1.0,1.0
370083,2020-05-02,11:15:00,2.0,0.0
370083,2020-04-10,11:15:00,2.0,0.0
370083,2019-10-19,06:10:03,1.0,2.0
370083,2019-05-16,03:30:00,1.0,0.0
370083,2019-05-09,16:00:00,2.0,0.0
371485,2020-04-27,08:15:00,1.0,2.0
371485,2019-12-11,12:42:00,0.0,1.0
371485,2019-12-11,07:30:00,1.0,0.0
371485,2019-12-02,10:53:02,0.0,2.0
371485,2019-10-10,06:47:38,2.0,3.0
371267,2020-04-05,07:15:00,2.0,0.0
371371,2020-04-18,06:15:00,1.0,2.0
371571,2020-03-31,06:05:00,0.0,2.0
371571,2020-03-26,07:10:00,2.0,0.0
371571,2019-10-13,05:01:44,1.0,1.0
371000,2020-04-04,12:15:00,0.0,2.0
370086,2020-04-17,05:10:00,2.0,0.0
370086,2020-02-15,06:40:00,1.0,1.0
370086,2019-12-01,10:00:00,2.0,0.0
370086,2019-11-09,06:10:02,1.0,2.0
370086,2019-11-02,01:16:00,2.0,0.0
371482,2020-05-01,08:10:00,2.0,1.0
371482,2020-04-29,08:10:00,0.0,2.0
371482,2018-11-21,09:05:03,0.0,2.0
371482,2018-03-16,06:01:13,0.0,2.0
371572,2020-03-23,07:15:00,2.0,0.0
370706,2020-04-26,14:45:00,2.0,1.0
370706,2020-03-29,12:05:00,2.0,3.0
370706,2020-02-26,14:10:00,2.0,0.0
370706,2019-11-02,14:02:05,1.0,2.0
370724,2020-03-04,12:00:00,1.0,2.0
370015,2019-11-03,19:04:29,2.0,0.0
371018,2020-04-28,15:30:00,2.0,0.0
371018,2020-04-16,15:15:00,2.0,1.0
371655,2020-04-18,17:10:00,2.0,0.0
371655,2020-04-01,16:15:00,2.0,1.0
371655,2020-03-22,19:40:00,2.0,1.0
371246,2020-04-18,18:05:00,1.0,1.0
371246,2020-01-30,22:10:00,0.0,2.0
371246,2019-12-03,04:00:00,1.0,0.0
371246,2019-12-02,17:51:02,0.0,2.0
371246,2019-10-29,20:21:02,0.0,2.0
371459,2020-05-02,19:10:00,2.0,0.0
371459,2020-04-13,23:00:00,2.0,0.0
371459,2020-03-28,13:10:00,1.0,2.0
371459,2020-03-23,19:10:00,2.0,0.0
371459,2020-02-12,20:50:00,2.0,0.0
371174,2020-03-30,18:10:00,2.0,1.0
371174,2020-02-09,11:20:00,2.0,0.0
371567,2020-04-06,11:10:00,0.0,2.0
371567,2019-12-09,09:05:00,0.0,2.0
371567,2019-07-21,05:10:02,2.0,1.0
371479,2020-04-16,11:40:00,0.0,2.0
371479,2020-04-03,09:10:00,0.0,2.0
371479,2020-03-30,12:10:00,1.0,2.0
371479,2020-03-27,06:45:00,2.0,0.0
371479,2019-12-26,06:15:00,1.0,2.0
371570,2020-04-29,10:35:00,0.0,2.0
371570,2020-04-24,08:05:00,2.0,0.0
371570,2020-03-26,11:05:00,2.0,1.0
371570,2019-10-21,12:37:40,0.0,2.0
371570,2019-10-16,15:08:02,0.0,2.0
371204,2020-04-13,08:05:00,2.0,0.0
370050,2020-04-22,09:10:00,2.0,1.0
370050,2020-04-06,03:25:00,0.0,1.0
370050,2020-03-20,08:15:00,2.0,0.0
370050,2020-02-29,03:05:00,0.0,2.0
370050,2019-12-25,09:20:00,0.0,2.0
371656,2020-03-04,11:20:00,0.0,2.0
370050,2020-04-22,09:10:00,2.0,1.0
370050,2020-04-06,03:25:00,0.0,1.0
370050,2020-03-20,08:15:00,2.0,0.0
370050,2020-02-29,03:05:00,0.0,2.0
370050,2019-12-25,09:20:00,0.0,2.0
371486,2019-12-05,08:30:00,2.0,0.0
371486,2019-07-13,05:58:01,2.0,0.0
371486,2019-07-12,10:30:00,1.0,0.0
371486,2019-07-11,05:00:00,1.0,0.0
371486,2019-04-03,11:04:43,1.0,2.0
371282,2020-04-08,03:40:00,2.0,0.0
371282,2019-12-06,11:05:00,1.0,1.0
371282,2019-10-21,05:40:02,2.0,0.0
371590,2020-04-25,06:30:00,2.0,0.0
371027,2020-05-02,15:45:00,0.0,2.0
371027,2020-04-02,15:40:00,0.0,2.0
371317,2020-04-17,08:05:00,2.0,1.0
371317,2019-10-31,11:23:02,0.0,2.0
371753,2020-03-26,08:40:00,2.0,0.0
371753,2020-03-19,05:25:00,1.0,2.0
371753,2019-10-02,04:00:00,1.0,2.0
371781,2020-04-19,11:30:00,2.0,0.0
371781,2020-04-03,14:30:00,2.0,0.0
371781,2020-03-18,08:30:00,2.0,0.0
371781,2020-02-27,02:45:00,0.0,2.0
371781,2020-02-20,13:30:00,0.0,2.0
371766,2020-01-04,13:35:00,0.0,2.0
371766,2019-12-11,13:00:00,2.0,0.0
371766,2019-12-06,11:30:00,2.0,0.0
371766,2019-10-14,04:10:03,1.0,2.0
371766,2019-09-18,07:10:03,0.0,2.0
371823,2020-04-19,02:40:00,1.0,2.0
371823,2020-03-31,02:50:00,0.0,2.0
371823,2020-03-03,13:15:00,2.0,0.0
371823,2020-02-02,11:30:00,1.0,2.0
371823,2020-01-18,02:45:00,1.0,2.0
371021,2020-02-26,17:00:00,2.0,1.0
371021,2020-02-09,11:20:00,1.0,1.0
371021,2019-12-06,13:35:00,2.0,3.0
371021,2019-11-29,12:10:02,2.0,1.0
371021,2019-11-02,16:24:53,0.0,2.0
371246,2020-04-18,18:05:00,1.0,1.0
371246,2020-01-30,22:10:00,0.0,2.0
371246,2019-12-03,04:00:00,1.0,0.0
371246,2019-12-02,17:51:02,0.0,2.0
371246,2019-10-29,20:21:02,0.0,2.0
371166,2020-04-25,17:40:00,2.0,1.0
371166,2020-04-21,17:05:00,2.0,0.0
371166,2020-03-26,18:15:00,0.0,2.0
371166,2020-02-10,15:25:00,1.0,1.0
371166,2020-01-20,13:25:00,0.0,2.0
371283,2020-04-27,11:05:00,2.0,0.0
371283,2020-04-03,05:10:00,2.0,0.0
371283,2020-03-14,09:10:00,0.0,2.0
371283,2020-02-22,07:35:00,1.0,1.0
371483,2020-04-16,08:35:00,1.0,2.0
371483,2020-03-31,12:05:00,2.0,0.0
371483,2020-03-29,04:10:00,2.0,1.0
371483,2020-03-27,03:05:00,1.0,2.0
371483,2020-01-21,14:00:00,2.0,1.0
371578,2020-04-07,05:05:00,2.0,0.0
371578,2020-01-07,10:00:00,2.0,0.0
371578,2019-12-16,06:10:00,2.0,0.0
370032,2020-05-03,07:10:00,1.0,1.0
370032,2020-04-01,03:10:00,1.0,1.0
370032,2020-03-18,08:50:00,0.0,2.0
370032,2020-02-28,09:10:00,2.0,0.0
371481,2020-04-12,12:30:00,2.0,0.0
371481,2019-12-29,08:05:00,2.0,0.0
371481,2019-12-12,04:35:00,2.0,1.0
371481,2019-08-15,06:43:02,2.0,0.0
371481,2019-05-28,19:00:00,2.0,0.0
371388,2020-04-17,09:35:00,2.0,1.0
371388,2020-04-15,09:50:00,2.0,0.0
371223,2020-04-21,08:05:00,2.0,0.0
371563,2020-04-07,08:05:00,1.0,2.0
370996,2020-04-07,19:00:00,2.0,0.0
370996,2020-02-11,13:35:00,2.0,0.0
370996,2019-02-21,16:39:51,2.0,0.0
370996,2019-02-04,13:30:17,1.0,2.0
370996,2018-11-09,04:45:29,2.0,0.0
371326,2020-04-12,11:05:00,0.0,2.0
371326,2020-04-09,11:10:00,0.0,2.0
371326,2020-01-08,06:10:00,0.0,2.0
371326,2019-12-03,07:10:02,0.0,2.0
371326,2019-05-16,02:00:00,0.0,1.0
370049,2019-11-08,08:43:02,0.0,2.0
370049,2019-10-15,08:02:21,2.0,1.0
370049,2019-09-12,11:54:02,2.0,0.0
370049,2019-08-09,11:10:02,2.0,0.0
370049,2019-07-18,08:10:02,2.0,1.0
371767,2019-12-29,04:50:00,1.0,3.0
371767,2019-12-27,08:30:00,2.0,1.0
371767,2019-12-19,08:45:00,1.0,2.0
371767,2019-12-12,08:45:00,1.0,2.0
371767,2019-11-14,02:51:02,0.0,2.0
371777,2020-04-30,11:40:00,2.0,3.0
371777,2020-04-28,11:10:00,2.0,1.0
371777,2020-04-20,10:45:00,2.0,0.0
371777,2020-04-07,13:30:00,0.0,2.0
371777,2020-03-03,07:05:00,0.0,2.0
371775,2020-03-17,07:10:00,1.0,2.0
371775,2020-01-14,11:30:00,2.0,3.0
371775,2020-01-12,10:50:00,2.0,0.0
371775,2020-01-07,12:35:00,2.0,0.0
371775,2019-10-22,06:01:19,0.0,2.0
371815,2020-01-19,02:40:00,1.0,2.0
371815,2019-12-19,14:30:00,0.0,2.0
371815,2019-12-12,08:30:00,1.0,2.0
371815,2019-11-28,08:30:00,0.0,2.0
371815,2019-10-18,16:07:02,0.0,2.0
370996,2020-04-07,19:00:00,2.0,0.0
370996,2020-02-11,13:35:00,2.0,0.0
370996,2019-02-21,16:39:51,2.0,0.0
370996,2019-02-04,13:30:17,1.0,2.0
