Mid,T1name,T2name,T1logo,T2logo,Mstatus,T1score,T2score,Mdate,Mtime,Mtour,Mtypes,WR,FB,F10,WR2,FB2,F102,P11,P12,P13,P14,P15,P21,P22,P23,P24,P25,P11_photo,P12_photo,P13_photo,P14_photo,P15_photo,P21_photo,P22_photo,P23_photo,P24_photo,P25_photo,P11_score,P12_score,P13_score,P14_score,P15_score,P21_score,P22_score,P23_score,P24_score,P25_score,TIME,Video
371715,OG Seed,Vikin.gg,https://ru.dltv.org/storage/app/uploads/public/58b/634/1a0/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/9d4/c53/8f1/thumb__100_100_0_0_auto.png,Live,1,2,2020-05-20,18:00:00,Cyber.bet Cup: Spring Series - EU,Best of 5,52%,58%,53%,65%,48%,54%,ZFreek,Madara,Peksu,Chessie,Xibbe,Seleri,BOOM,Aramis,Tobi,Shad,https://ru.dltv.org/storage/app/uploads/public/ef1/4d7/836/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/0ee/852/963/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/4e7/621/8d3/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/881/4c0/f3f/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/dde/3e0/8ab/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,-,4520,393,77,64,190,114,173,22,47,2020-05-20 18:00:00+03:00,sigul_universe
372306,Team Secret,Ninjas in Pyjamas,https://ru.dltv.org/storage/app/uploads/public/697/dc9/c84/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ae1/b22/89c/thumb__100_100_0_0_auto.png,Live,1,0,2020-05-20,18:00:00,OGA Dota PIT 2020 Online: Europe/CIS,Best of 3,72%,55%,58%,51%,53%,48%,MATUMBAMAN,zai,Puppey,YapzOr,Nisha,Supream^,Era,SoNNeikO,charlie,SabeRLighT-,https://ru.dltv.org/storage/app/uploads/public/3db/0e6/aa5/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/20a/7f3/0f5/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/99b/c95/369/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/72e/b55/7c9/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/e65/4f5/250/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/9b4/95b/1c1/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/fd8/da5/80f/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/d97/96a/d06/thumb__300_300_0_0_auto.png,10,27,118,535,-,57,178,-,48,68,2020-05-20 18:00:00+03:00,ogadotapit
372378,SMARACIS eSports,Empire Hope,https://ru.dltv.org/storage/app/uploads/public/8a3/6b4/3c6/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/6bd/a9b/bd8/thumb__100_100_0_0_auto.png,Live,0,1,2020-05-20,13:00:00,Global Infection Cup,Best of 3,47%,56%,53%,51%,55%,52%,Fezor,Rvze,airu,Kiritych~,Lefitan,EcNart-,tatakae,jAMES,Mastery,lightless,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b8c/dae/725/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,504,313,302,188,568,480,130,853,103,270,2020-05-20 13:00:00+03:00,
372392,Backpacks Gaming,Cyberium,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/702/e00/ba7/thumb__100_100_0_0_auto.png,Live,0,1,2020-05-20,13:00:00,Global Infection Cup,Best of 3,10%,50%,50%,46%,49%,39%,ARTES,Bogdan Abuladze,se7en,,,Dodren,Otaker,Gatciy,ck,Vicoros,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,1170,-,-,-,-,-,-,917,541,284,2020-05-20 13:00:00+03:00,
372517,Team Aspirations,Five brothers,https://ru.dltv.org/storage/app/uploads/public/288/26c/d1e/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/a16/7ca/01a/thumb__100_100_0_0_auto.png,Live,1,1,2020-05-20,13:00:00,Red Star Cup Season 6,Best of 3,50%,50%,51%,50%,49%,46%,TA.apex,(not found),TA.moogys2-,mid,TA.jackumao,rrrd,FB.Stone,FB.123,(not found),慢灵魂,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,-,-,-,109,-,-,-,-,-,-,2020-05-20 13:00:00+03:00,pavagagg
371980,syndereN Fanclub,Astronauts,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f6b/aae/e6c/thumb__100_100_0_0_auto.png,Live,0,1,2020-05-20,17:00:00,Epulze Global Dota 2 League: Europe Division 1,Best of 2,50%,0%,33%,45%,86%,71%,Luft,Blu3,AscendancyDota,Kaito,Mr. Kothaufen,Womber,MTD,Nukkumatti,GreedoT1,Megabauss,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,612,-,-,1192,-,1691,266,1188,218,821,2020-05-20 17:00:00+03:00,
371715,OG Seed,Vikin.gg,https://ru.dltv.org/storage/app/uploads/public/58b/634/1a0/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/9d4/c53/8f1/thumb__100_100_0_0_auto.png,Live,1,2,2020-05-20,18:00:00,Cyber.bet Cup: Spring Series - EU,Best of 5,52%,58%,53%,65%,48%,54%,ZFreek,Madara,Peksu,Chessie,Xibbe,Seleri,BOOM,Aramis,Tobi,Shad,https://ru.dltv.org/storage/app/uploads/public/ef1/4d7/836/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/0ee/852/963/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/4e7/621/8d3/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/881/4c0/f3f/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/dde/3e0/8ab/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,-,4520,393,77,64,190,114,173,22,47,2020-05-20 18:00:00+03:00,sigul_universe
372306,Team Secret,Ninjas in Pyjamas,https://ru.dltv.org/storage/app/uploads/public/697/dc9/c84/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ae1/b22/89c/thumb__100_100_0_0_auto.png,Live,1,0,2020-05-20,18:00:00,OGA Dota PIT 2020 Online: Europe/CIS,Best of 3,72%,55%,58%,51%,53%,48%,MATUMBAMAN,zai,Puppey,YapzOr,Nisha,Supream^,Era,SoNNeikO,charlie,SabeRLighT-,https://ru.dltv.org/storage/app/uploads/public/3db/0e6/aa5/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/20a/7f3/0f5/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/99b/c95/369/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/72e/b55/7c9/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/e65/4f5/250/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/9b4/95b/1c1/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/fd8/da5/80f/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/d97/96a/d06/thumb__300_300_0_0_auto.png,10,27,118,535,-,57,178,-,48,68,2020-05-20 18:00:00+03:00,ogadotapit
371977,KVP,No Bounty Hunter,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/a68/06c/3b0/thumb__100_100_0_0_auto.png,Live,0,1,2020-05-20,19:00:00,Epulze Global Dota 2 League: Europe Division 1,Best of 2,68%,52%,48%,34%,39%,26%,GOD,PosingAsMe,Funkefal,coblack,Scy,Flash,xxxBliNcc,Ar1se,suntnebun,kAAN,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/fea/c77/e40/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,-,470,182,154,-,516,492,773,597,618,2020-05-20 19:00:00+03:00,infibash
372342,TBD,FlyToMoon 2.0,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/36b/7c9/bdb/thumb__100_100_0_0_auto.png,Upcoming,0,0,2020-05-20,19:00:00,OMG Cup 3,Best of 3,,,,53%,61%,47%,,,,,,nofear,ImbaCh,nongrata`,kingr-,Askold,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/36d/3a3/911/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/bab/1bf/505/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/788/c6e/b03/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,-,-,-,-,-,424,-,443,272,-,2020-05-20 19:00:00+03:00,
372159,FlyToMoon 2.0,Team Unique,https://ru.dltv.org/storage/app/uploads/public/36b/7c9/bdb/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/482/916/292/thumb__100_100_0_0_auto.png,Live,0,1,2020-05-20,19:00:00,Parimatch League Season 3 Round Robin,Best of 3,53%,61%,47%,47%,48%,45%,nofear,ImbaCh,nongrata`,kingr-,Askold,VANSKOR,633,Palantimos,illusion,19teen.,https://ru.dltv.org/storage/app/uploads/public/36d/3a3/911/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/bab/1bf/505/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/788/c6e/b03/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/647/431/808/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/0ad/527/3ca/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/1c6/0b0/97b/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ea6/39c/063/thumb__300_300_0_0_auto.jpg,424,-,443,272,-,307,29,20,330,161,2020-05-20 19:00:00+03:00,dota2ruhub
372507,Team Rockets,Team Aspirations,https://ru.dltv.org/storage/app/uploads/public/086/740/812/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/288/26c/d1e/thumb__100_100_0_0_auto.png,Live,1,0,2020-05-20,15:00:00,Red Star Cup Season 6,Best of 3,51%,57%,56%,50%,50%,51%,TR.yyy,TR.storm;,TR.Vitality,TR.shou77777,TR.SVG,TA.apex,(not found),TA.moogys2-,mid,TA.jackumao,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,-,-,-,-,-,-,-,-,109,-,2020-05-20 15:00:00+03:00,
372159,FlyToMoon 2.0,Team Unique,https://ru.dltv.org/storage/app/uploads/public/36b/7c9/bdb/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/482/916/292/thumb__100_100_0_0_auto.png,Live,0,1,2020-05-20,19:00:00,Parimatch League Season 3 Round Robin,Best of 3,53%,61%,47%,47%,48%,45%,nofear,ImbaCh,nongrata`,kingr-,Askold,VANSKOR,633,Palantimos,illusion,19teen.,https://ru.dltv.org/storage/app/uploads/public/36d/3a3/911/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/bab/1bf/505/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/788/c6e/b03/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/647/431/808/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/0ad/527/3ca/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/1c6/0b0/97b/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ea6/39c/063/thumb__300_300_0_0_auto.jpg,424,-,443,272,-,307,29,20,330,161,2020-05-20 19:00:00+03:00,dota2ruhub
372581,EURONICS Gaming,IVY,https://ru.dltv.org/storage/app/uploads/public/507/288/c55/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,Live,0,1,2020-05-20,20:15:00,ESL Meisterschaft 2020 Season 1,Best of 2,0%,0%,0%,0%,0%,0%,,,,,,,,,,,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,-,-,-,-,-,-,-,-,-,-,2020-05-20 20:15:00+03:00,shokztv
372347,KBU,CR4ZY,https://ru.dltv.org/storage/app/uploads/public/7e7/cb6/5f4/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/042/1f9/bab/thumb__100_100_0_0_auto.png,Finished,0,2,2020-05-20,20:30:00,OMG Cup 3,Best of 3,34%,51%,44%,49%,44%,56%,goddam,BarabaNN,UnderShock,MaTa,ii,MoonMeander,Aui_2000,skiter,KheZu,Bryle,https://ru.dltv.org/storage/app/uploads/public/f1d/256/fa8/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/89f/aa1/836/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/927/811/071/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/e07/677/94e/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/913/9a4/96a/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/8b0/cba/641/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/1aa/63c/691/thumb__300_300_0_0_auto.png,-,-,256,-,631,75,71,14,30,12,2020-05-20 20:30:00+03:00,moonstudio_ru
372314,Virtus.pro,Team Spirit,https://ru.dltv.org/storage/app/uploads/public/825/a78/65e/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ba5/980/72f/thumb__100_100_0_0_auto.png,Live,1,1,2020-05-20,21:00:00,OGA Dota PIT 2020 Online: Europe/CIS,Best of 3,65%,53%,56%,46%,49%,51%,Resolut1on,No[o]ne-,W_Zayac,iLTW,Solo,yamich,Misha,Malik,Ergon,dyrachyo,https://ru.dltv.org/storage/app/uploads/public/1a7/d61/6f5/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/0be/630/a69/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/48a/c3e/b0f/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/838/bb8/863/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/08d/a62/61f/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/046/264/162/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,83,3,198,2,1239,123,180,31,59,25,2020-05-20 21:00:00+03:00,dota2ruhub2
371963,You Should Ran,Let's Have Fun,https://ru.dltv.org/storage/app/uploads/public/7a8/7c0/aa2/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,Live,0,1,2020-05-20,21:00:00,Epulze Global Dota 2 League: Europe Division 1,Best of 2,50%,75%,100%,25%,25%,33%,.,Flensmeister,OwnedMe,Chaoly,embrey,eL lisash,Exotic_Deer,PierdolonyPies,Molexツ,Jacob^,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,4697,-,772,1260,-,449,200,1332,-,-,2020-05-20 21:00:00+03:00,canko
372347,KBU,CR4ZY,https://ru.dltv.org/storage/app/uploads/public/7e7/cb6/5f4/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/042/1f9/bab/thumb__100_100_0_0_auto.png,Finished,0,2,2020-05-20,21:30:00,OMG Cup 3,Best of 3,34%,51%,44%,49%,44%,56%,goddam,BarabaNN,UnderShock,MaTa,ii,MoonMeander,Aui_2000,skiter,KheZu,Bryle,https://ru.dltv.org/storage/app/uploads/public/f1d/256/fa8/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/89f/aa1/836/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/927/811/071/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/e07/677/94e/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/913/9a4/96a/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/8b0/cba/641/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/1aa/63c/691/thumb__300_300_0_0_auto.png,-,-,256,-,631,75,71,14,30,12,2020-05-20 21:30:00+03:00,moonstudio_ru
