Mid,Players,Hero_pic,Level_hero,KDA,Hero_items,Hero_gold,LH_DN,GPM_XPM,NW,status,T1score,T2score
370032,linsanity,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/dark_willow_full.png,6,1/0/1,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/infused_raindrop_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/faerie_fire_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/clarity_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_stick_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/branches_lg.png']",1903,9/2,173/203,1903.0,Live,,
370032,肯,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/death_prophet_full.png,9,1/1/2,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bottle_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tango_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/null_talisman_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wind_lace_lg.png']",4153,75/7,367/390,4153.0,Live,,
370032,shiro,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/troll_warlord_full.png,11,2/0/2,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wraith_band_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/flask_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bfury_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png']",7221,117/6,540/585,7221.0,Live,,
370032,plAnet240,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/abyssal_underlord_full.png,9,0/1/1,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/soul_ring_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/vanguard_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wind_lace_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/quelling_blade_lg.png']",4666,73/10,362/419,4666.0,Live,,
370032,zzq,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/oracle_full.png,4,1/2/2,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/smoke_of_deceit_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_stick_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ward_dispenser_lg.png']",2329,13/2,189/131,2329.0,Live,,
370032,Ola,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/gyrocopter_full.png,10,1/0/0,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wraith_band_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/phase_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/faerie_fire_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wraith_band_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/point_booster_lg.png']",5023,88/3,405/501,5023.0,Live,,
370032,zc,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/queenofpain_full.png,9,0/0/3,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/null_talisman_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bottle_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/gloves_lg.png']",2930,46/9,281/411,2930.0,Live,,
370032,Tzy丶,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/bristleback_full.png,10,2/2/0,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bottle_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/phase_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/vanguard_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png']",5619,117/0,491/500,5619.0,Live,,
370032,Fame,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/rattletrap_full.png,6,1/2/1,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/sobi_mask_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ward_dispenser_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/circlet_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ring_of_protection_lg.png']",2177,7/5,161/197,2177.0,Live,,
370032,Xmy,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/bane_full.png,4,0/1/2,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/smoke_of_deceit_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/faerie_fire_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ward_sentry_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/boots_lg.png']",1517,6/0,158/126,1517.0,Live,,
371815,(notfound),https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/leshrac_full.png,15,8/5/7,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/cyclone_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/null_talisman_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/travel_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bottle_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/staff_of_wizardry_lg.png']",9367,129/3,475/596,9367.0,Live,,
371815,(notfound),https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/void_spirit_full.png,13,4/7/11,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/cyclone_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bottle_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/quelling_blade_lg.png']",5710,60/2,324/433,5710.0,Live,,
371815,FB.Stone,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/puck_full.png,14,8/7/8,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/null_talisman_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/dagon_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ward_observer_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/null_talisman_lg.png']",7166,86/3,386/507,7166.0,Live,,
371815,rrrd,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/mirana_full.png,12,2/6/13,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/blight_stone_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wraith_band_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/phase_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wind_lace_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ring_of_basilius_lg.png']",4706,46/4,259/386,4706.0,Live,,
371815,FB.123,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/ogre_magi_full.png,14,3/10/16,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/urn_of_shadows_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ward_dispenser_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/orb_of_venom_lg.png']",3915,17/1,218/496,3915.0,Live,,
371815,NT.G1yu,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/pangolier_full.png,11,4/5/6,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/arcane_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/rod_of_atos_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/dust_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/headdress_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/orb_of_venom_lg.png']",5807,65/1,310/335,5807.0,Live,,
371815,NT.CY,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/spectre_full.png,15,5/2/9,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/phase_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/quelling_blade_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/soul_ring_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/hood_of_defiance_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/yasha_lg.png']",9388,120/17,467/595,9388.0,Live,,
371815,NT.maybe1,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/furion_full.png,17,8/5/10,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/maelstrom_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/orchid_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/recipe_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/blight_stone_lg.png']",11485,163/20,602/714,11485.0,Live,,
371815,NT.sKad1,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/bane_full.png,11,4/11/11,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/point_booster_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tome_of_knowledge_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/null_talisman_lg.png']",4198,26/8,275/324,4198.0,Live,,
371815,NT.secret,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/queenofpain_full.png,18,14/2/8,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/orchid_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bottle_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/null_talisman_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/null_talisman_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/maelstrom_lg.png']",12297,166/14,624/738,12297.0,Live,,
371481,Chalice,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/drow_ranger_full.png,9,3/1/3,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/flask_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wraith_band_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wraith_band_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wraith_band_lg.png']",4792,61/19,406/494,4792.0,Live,,
371481,SoMnus丶M,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/zuus_full.png,9,3/1/2,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/faerie_fire_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/null_talisman_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bottle_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/necronomicon_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/boots_lg.png']",5170,73/23,453/492,5170.0,Live,,
371481,xNova,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/enchantress_full.png,5,1/3/7,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_stick_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ward_dispenser_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/clarity_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/smoke_of_deceit_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/enchanted_mango_lg.png']",1596,10/4,184/191,1596.0,Live,,
371481,fy,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/nyx_assassin_full.png,5,0/2/0,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/flask_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ring_of_regen_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/sobi_mask_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/boots_lg.png']",1764,5/1,144/160,1764.0,Live,,
371481,oldeLeVeN,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/enigma_full.png,8,1/1/1,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/necronomicon_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/arcane_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ward_sentry_lg.png']",3980,57/26,347/388,3980.0,Live,,
371481,Erica,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/terrorblade_full.png,8,1/0/0,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wraith_band_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/faerie_fire_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/quelling_blade_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wraith_band_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/infused_raindrop_lg.png']",3864,71/10,339/348,3864.0,Live,,
371481,Blood,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/ember_spirit_full.png,8,2/0/1,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bottle_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/quelling_blade_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/blight_stone_lg.png']",3251,39/6,277/380,3251.0,Live,,
371481,xiaofu,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/dazzle_full.png,6,0/5/4,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tango_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/sobi_mask_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/sobi_mask_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/belt_of_strength_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/branches_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/branches_lg.png']",2443,27/5,214/221,2443.0,Live,,
371481,Yds.,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/pangolier_full.png,6,5/3/1,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/urn_of_shadows_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ward_dispenser_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/boots_lg.png']",3179,20/3,258/254,3179.0,Live,,
371481,Fantasy,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/grimstroke_full.png,5,0/0/3,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_stick_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/clarity_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ward_sentry_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/boots_lg.png']",1211,8/1,169/177,1211.0,Live,,
371673,coblack,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/spectre_full.png,8,3/1/2,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/soul_ring_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/quelling_blade_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png']",3916,64/11,373/403,3916.0,Live,,
371673,animaltrainer,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/void_spirit_full.png,9,5/0/0,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bottle_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_stick_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/clarity_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/null_talisman_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/quelling_blade_lg.png']",4393,59/10,387/465,4393.0,Live,,
371673,TheBloodySky,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/abyssal_underlord_full.png,7,0/4/3,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/soul_ring_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/quelling_blade_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/enchanted_mango_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/flask_lg.png']",2763,43/5,257/288,2763.0,Live,,
371673,Scy,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/earthshaker_full.png,6,0/1/5,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_stick_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/clarity_lg.png']",1251,2/1,129/259,1251.0,Live,,
371673,PosingAsMe,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/oracle_full.png,6,3/1/5,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ward_observer_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wind_lace_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/smoke_of_deceit_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/flask_lg.png']",1856,7/2,183/210,1856.0,Live,,
371673,nofear,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/grimstroke_full.png,6,0/4/4,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/sobi_mask_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/enchanted_mango_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/clarity_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/branches_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_stick_lg.png']",1733,6/0,151/223,1733.0,Live,,
371673,Stormstormer,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/monkey_king_full.png,9,1/2/0,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_stick_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wraith_band_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/orb_of_venom_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wraith_band_lg.png']",4046,69/16,359/458,4046.0,Live,,
371673,Crystallis,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/riki_full.png,7,2/2/3,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/orb_of_venom_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_stick_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wraith_band_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/quelling_blade_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wraith_band_lg.png']",3458,46/16,319/300,3458.0,Live,,
371673,nongrata`,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/centaur_full.png,8,0/1/1,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ring_of_tarrasque_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/quelling_blade_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/hood_of_defiance_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/boots_lg.png']",4340,72/5,358/390,4340.0,Live,,
371673,Fishman,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/lich_full.png,7,4/2/1,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ward_dispenser_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/clarity_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/infused_raindrop_lg.png']",2078,5/2,240/268,2078.0,Live,,
371223,RogerDodger,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/mars_full.png,24,5/13/28,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/blink_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/quelling_blade_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/phase_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bracer_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/vladmir_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png']",12974,113/4,321/536,12974.0,Live,,
371223,Vade,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/storm_spirit_full.png,28,14/5/20,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/mystic_staff_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ultimate_scepter_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bottle_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bloodstone_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/black_king_bar_lg.png']",24572,360/7,590/884,24572.0,Live,,
371223,hG,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/lina_full.png,24,7/13/20,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/cyclone_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ghost_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/aether_lens_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/aeon_disk_lg.png']",13928,132/1,350/536,13928.0,Live,,
371223,aka,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/undying_full.png,21,10/15/23,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/arcane_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/glimmer_cape_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/pipe_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ward_observer_lg.png']",9406,46/1,283/432,9406.0,Live,,
371223,Reverie,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/troll_warlord_full.png,27,11/6/22,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/satanic_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/basher_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/black_king_bar_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/mjollnir_lg.png']",23987,347/28,565/834,23987.0,Live,,
