Mid,Players,Hero_pic,Level_hero,KDA,Hero_items,Hero_gold,LH_DN,GPM_XPM,NW,status,T1score,T2score
371825,mlsione-skw,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/leshrac_full.png,16,11/3/6,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bottle_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bloodstone_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/null_talisman_lg.png']",11165,148/7,569/621,11165.0,Live,1.0,1.0
371825,76561198253970941,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/beastmaster_full.png,12,1/9/6,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ring_of_basilius_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ultimate_scepter_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ward_observer_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/sobi_mask_lg.png']",6088,95/6,349/391,6088.0,Live,1.0,1.0
371825,(notfound),https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/lion_full.png,12,5/3/14,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/branches_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/branches_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/branches_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/aether_lens_lg.png']",5047,15/5,278/406,5047.0,Live,1.0,1.0
371825,1,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/pugna_full.png,16,9/1/12,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/glimmer_cape_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/veil_of_discord_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/aether_lens_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png']",8815,90/4,434/607,8815.0,Live,1.0,1.0
371825,....,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/grimstroke_full.png,12,4/8/10,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/blink_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_stick_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/smoke_of_deceit_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/arcane_boots_lg.png']",4700,43/2,300/403,4700.0,Live,1.0,1.0
371825,76561198357746376,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/phantom_assassin_full.png,17,12/5/6,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/desolator_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/basher_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/lifesteal_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wraith_band_lg.png']",10087,136/9,545/671,10087.0,Live,1.0,1.0
371825,1,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/dragon_knight_full.png,15,3/3/1,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/mask_of_madness_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bracer_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ogre_axe_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bracer_lg.png']",8620,133/9,441/548,8620.0,Live,1.0,1.0
371825,999,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/rubick_full.png,9,0/12/4,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/energy_booster_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wind_lace_lg.png']",2943,13/1,176/235,2943.0,Live,1.0,1.0
371825,Sunrise.AAA,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/magnataur_full.png,10,3/6/7,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/branches_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wind_lace_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_stick_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/blink_lg.png']",4197,52/5,287/298,4197.0,Live,1.0,1.0
371825,Sunrise.Vancci,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/death_prophet_full.png,13,5/5/3,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/blink_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/bottle_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/null_talisman_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/mithril_hammer_lg.png']",7566,91/16,397/478,7566.0,Live,1.0,1.0
